class,precision,recall,f1_score,support
T-shirt/top,0.8817533129459735,0.865,0.8732963149924281,1000
Trouser,0.9969727547931383,0.988,0.9924660974384731,1000
Pullover,0.9064089521871821,0.891,0.8986384266263238,1000
Dress,0.9335347432024169,0.927,0.9302558956347216,1000
Coat,0.8984220907297831,0.911,0.9046673286991063,1000
Sandal,0.9879638916750251,0.985,0.9864797195793691,1000
Shirt,0.7827788649706457,0.8,0.7912957467853611,1000
Sneaker,0.9733606557377049,0.95,0.9615384615384616,1000
Bag,0.9793103448275862,0.994,0.9866004962779157,1000
Ankle boot,0.9494163424124513,0.976,0.9625246548323472,1000
