,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,875,3,13,48,7,1,49,0,4,0
Trouser,6,964,0,21,2,0,5,0,2,0
Pullover,50,0,729,7,126,0,83,0,5,0
Dress,57,13,15,840,34,0,40,0,1,0
Coat,7,0,46,42,826,1,77,0,1,0
Sandal,4,0,0,0,0,955,0,25,2,14
Shirt,224,2,55,50,135,0,523,0,11,0
Sneaker,0,0,0,0,0,39,0,878,1,82
Bag,11,1,3,9,6,4,12,1,948,5
Ankle boot,1,0,0,0,0,6,1,18,0,974
