epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1,0.5144600503091459,0.3926357222398122,0.8146296296296296,0.8546666666666667,0.001
2,0.3858498902232559,0.36141328422228497,0.8589814814814815,0.8688333333333333,0.001
3,0.35643753106947296,0.3451042281786601,0.8705925925925926,0.8753333333333333,0.001
4,0.33163545993080845,0.32546675531069436,0.877962962962963,0.8816666666666667,0.001
5,0.3163847286745354,0.32885788679122924,0.8825185185185185,0.8828333333333334,0.001
6,0.30136026251757586,0.32600328040122983,0.8895555555555555,0.8753333333333333,0.001
7,0.293642421302972,0.3231643783648809,0.891962962962963,0.8818333333333334,0.001
8,0.2825955002484498,0.3254891916116079,0.8943888888888889,0.8828333333333334,0.001
9,0.2729415406474361,0.32306379000345864,0.8987037037037037,0.8831666666666667,0.001
10,0.26537173825723154,0.3207142993211746,0.9010185185185186,0.8913333333333333,0.001
11,0.26057956882759375,0.30182640091578167,0.9031851851851852,0.8901666666666667,0.001
12,0.2538681599034203,0.31585261805852255,0.9041296296296296,0.8901666666666667,0.001
13,0.2455172799428304,0.3161249165932337,0.9070925925925926,0.8878333333333334,0.001
14,0.24250617386235132,0.3326419683297475,0.9092407407407408,0.8856666666666667,0.001
15,0.2342826796107822,0.31811926952997843,0.9127777777777778,0.8903333333333333,0.001
