,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,756,3,29,36,5,1,150,1,19,0
Trouser,2,972,2,14,1,1,5,0,3,0
Pullover,5,1,808,8,65,0,105,0,8,0
Dress,21,24,23,813,30,2,82,0,5,0
Coat,1,3,75,30,761,0,125,0,5,0
Sandal,0,0,0,0,0,940,0,44,3,13
Shirt,81,4,61,32,83,0,722,0,17,0
Sneaker,0,0,0,0,0,26,0,949,2,23
Bag,2,0,1,4,3,5,8,0,977,0
Ankle boot,0,0,0,1,0,8,1,42,2,946
