loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6923,1.9793049097061157,5.93939393939394e-06,0.09140767824497258,50,,,,,,,,,,,
0.5723,inf,1.2e-05,0.18281535648994515,100,,,,,,,,,,,
0.3539,4.271677494049072,1.8060606060606062e-05,0.2742230347349177,150,,,,,,,,,,,
0.3167,2.134838819503784,1.9539295392953933e-05,0.3656307129798903,200,,,,,,,,,,,
0.283,2.332202434539795,1.886178861788618e-05,0.4570383912248629,250,,,,,,,,,,,
0.2856,6.366142272949219,1.818428184281843e-05,0.5484460694698354,300,,,,,,,,,,,
0.2933,5.220277309417725,1.7506775067750677e-05,0.6398537477148081,350,,,,,,,,,,,
0.2889,4.22351598739624,1.682926829268293e-05,0.7312614259597806,400,,,,,,,,,,,
0.2859,8.506792068481445,1.6151761517615176e-05,0.8226691042047533,450,,,,,,,,,,,
0.2727,4.979962348937988,1.5474254742547428e-05,0.9140767824497258,500,,,,,,,,,,,
,,,1.0,547,0.23085139691829681,0.9104,0.9091400757166036,7.4279,504.851,7.943,,,,,
0.2634,4.293176651000977,1.4796747967479676e-05,1.0054844606946984,550,,,,,,,,,,,
0.2236,2.5642802715301514,1.4119241192411925e-05,1.0968921389396709,600,,,,,,,,,,,
0.2215,3.3686447143554688,1.3441734417344175e-05,1.1882998171846435,650,,,,,,,,,,,
0.1813,3.2978615760803223,1.2764227642276423e-05,1.2797074954296161,700,,,,,,,,,,,
0.2027,5.284483909606934,1.2086720867208673e-05,1.3711151736745886,750,,,,,,,,,,,
0.1631,6.5578389167785645,1.1409214092140924e-05,1.4625228519195612,800,,,,,,,,,,,
0.1831,5.2949113845825195,1.0731707317073172e-05,1.5539305301645339,850,,,,,,,,,,,
0.1793,6.636302471160889,1.0054200542005422e-05,1.6453382084095063,900,,,,,,,,,,,
0.2175,8.931538581848145,9.37669376693767e-06,1.736745886654479,950,,,,,,,,,,,
0.1902,6.306790828704834,8.69918699186992e-06,1.8281535648994516,1000,,,,,,,,,,,
0.1549,5.0622758865356445,8.021680216802169e-06,1.919561243144424,1050,,,,,,,,,,,
,,,2.0,1094,0.23380394279956818,0.9109333333333334,0.9110282365476825,7.5661,495.635,7.798,,,,,
0.1827,2.411716938018799,7.344173441734418e-06,2.010968921389397,1100,,,,,,,,,,,
0.1243,1.0624123811721802,6.666666666666667e-06,2.1023765996343693,1150,,,,,,,,,,,
0.1487,5.489150524139404,5.989159891598917e-06,2.1937842778793417,1200,,,,,,,,,,,
0.1165,7.246244430541992,5.311653116531166e-06,2.2851919561243146,1250,,,,,,,,,,,
0.1351,1.6700444221496582,4.634146341463416e-06,2.376599634369287,1300,,,,,,,,,,,
0.1218,3.4474756717681885,3.9566395663956644e-06,2.4680073126142594,1350,,,,,,,,,,,
0.1136,13.068522453308105,3.2791327913279137e-06,2.5594149908592323,1400,,,,,,,,,,,
0.1095,14.345990180969238,2.601626016260163e-06,2.6508226691042047,1450,,,,,,,,,,,
0.0875,1.1323593854904175,1.924119241192412e-06,2.742230347349177,1500,,,,,,,,,,,
0.1093,1.7544622421264648,1.2466124661246614e-06,2.83363802559415,1550,,,,,,,,,,,
0.1226,6.175445556640625,5.691056910569106e-07,2.9250457038391224,1600,,,,,,,,,,,
,,,3.0,1641,0.27537238597869873,0.9157333333333333,0.9162692103868575,7.5792,494.775,7.784,,,,,
,,,3.0,1641,,,,,,,387.0862,135.629,4.239,3477269214720000.0,0.22244359021648846
