class,precision,recall,f1_score,support
T-shirt/top,0.8057553956834532,0.784,0.794728839330968,1000
Trouser,0.98659793814433,0.957,0.9715736040609138,1000
Pullover,0.812565445026178,0.776,0.7938618925831202,1000
Dress,0.7805092186128183,0.889,0.831229546517064,1000
Coat,0.7764227642276422,0.764,0.7701612903225806,1000
Sandal,0.9651639344262295,0.942,0.9534412955465587,1000
Shirt,0.6155378486055777,0.618,0.6167664670658682,1000
Sneaker,0.940251572327044,0.897,0.9181166837256909,1000
Bag,0.9741468459152016,0.942,0.9578037620742247,1000
Ankle boot,0.9035250463821892,0.974,0.9374398460057748,1000
