epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1,0.5537544134722816,0.3492901259263356,0.8010925925925926,0.8703333333333333,0.001
2,0.36274488983330905,0.2902268095811208,0.8706851851851852,0.8908333333333334,0.001
3,0.3124403702462161,0.2598215703566869,0.8884444444444445,0.9023333333333333,0.001
4,0.2802981545395321,0.24820749839146933,0.8993888888888889,0.9086666666666666,0.001
5,0.2522806943522559,0.2356822092930476,0.908537037037037,0.9138333333333334,0.001
6,0.2336033194065094,0.2350829610824585,0.9148888888888889,0.9153333333333333,0.001
7,0.21938945778210958,0.23178433537483215,0.9199259259259259,0.9148333333333334,0.001
8,0.20449200857127153,0.24844506724675497,0.9246296296296296,0.912,0.001
9,0.19206530150219245,0.23185144142309824,0.9292222222222222,0.9223333333333333,0.001
10,0.17935174304026144,0.23253659391403197,0.9334074074074074,0.924,0.001
11,0.16998036828305987,0.23774963410695393,0.9370185185185185,0.9226666666666666,0.001
12,0.15918869549919057,0.22818389320373536,0.9397592592592593,0.9261666666666667,0.001
13,0.15063648129171794,0.2395319211880366,0.9441111111111111,0.9185,0.001
14,0.14317151682685922,0.24151320775349935,0.9456111111111111,0.9235,0.001
15,0.13617130256802948,0.24542638591925303,0.948,0.9271666666666667,0.001
