class,precision,recall,f1_score,support
T-shirt/top,0.8540856031128404,0.878,0.8658777120315582,1000
Trouser,0.9929292929292929,0.983,0.9879396984924623,1000
Pullover,0.8725099601593626,0.876,0.874251497005988,1000
Dress,0.9169169169169169,0.916,0.9164582291145573,1000
Coat,0.8877445932028837,0.862,0.8746829020801623,1000
Sandal,0.9918450560652395,0.973,0.9823321554770318,1000
Shirt,0.7554671968190855,0.76,0.7577268195413759,1000
Sneaker,0.9285714285714286,0.988,0.9573643410852714,1000
Bag,0.9869608826479438,0.984,0.985478217325989,1000
Ankle boot,0.9802083333333333,0.941,0.960204081632653,1000
