epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1,0.48689841831171954,0.3556442679564158,0.8243888888888888,0.8646666666666667,0.001
2,0.31587597781198995,0.2757925845781962,0.8852222222222222,0.8978333333333334,0.001
3,0.2673263010493031,0.24623593811194103,0.9018703703703703,0.9101666666666667,0.001
4,0.2370171705307784,0.23415104111035664,0.9136481481481481,0.9135,0.001
5,0.20901132452487944,0.2314421348174413,0.9227962962962963,0.9153333333333333,0.001
6,0.18726438453020872,0.23068768771489462,0.9310925925925926,0.9168333333333333,0.001
7,0.17339591893443354,0.22695207234223683,0.9360740740740741,0.9195,0.001
8,0.15737813448022914,0.2390036827325821,0.9404814814814815,0.9158333333333334,0.001
9,0.1426339364669941,0.2289739183386167,0.945462962962963,0.925,0.001
10,0.13011941202371208,0.24107242671648663,0.9504074074074074,0.9231666666666667,0.001
11,0.1195394704926897,0.25816067250569663,0.9553888888888888,0.9196666666666666,0.001
12,0.10972352740830846,0.2534427629709244,0.9584259259259259,0.9271666666666667,0.001
13,0.09996030446224742,0.2628076504468918,0.9623703703703703,0.9246666666666666,0.001
14,0.09273112277631407,0.28416325891017913,0.9636851851851852,0.9221666666666667,0.001
15,0.08564280072240918,0.28170905443032584,0.9661296296296297,0.9256666666666666,0.001
