,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,878,0,14,14,1,1,87,0,5,0
Trouser,0,983,0,12,1,0,3,0,1,0
Pullover,15,1,876,6,38,0,63,0,1,0
Dress,14,3,16,916,22,0,29,0,0,0
Coat,1,0,58,18,862,0,61,0,0,0
Sandal,0,0,0,0,0,973,0,19,0,8
Shirt,119,2,39,28,46,0,760,0,6,0
Sneaker,0,0,0,0,0,2,0,988,0,10
Bag,1,1,1,5,1,1,2,3,984,1
Ankle boot,0,0,0,0,0,4,1,54,0,941
