epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1,0.5142783700978314,0.3950224726200104,0.8149444444444445,0.8508333333333333,0.001
2,0.3863394591720016,0.3596806627114614,0.8593148148148149,0.8666666666666667,0.001
3,0.35420666776763066,0.33518545548121137,0.8713518518518518,0.8796666666666667,0.001
4,0.3307872237187845,0.3277157112360001,0.8786851851851852,0.8756666666666667,0.001
5,0.3185910128310875,0.324853076060613,0.8812037037037037,0.8805,0.001
6,0.3009093969486378,0.3315827357769012,0.8882592592592593,0.8775,0.001
7,0.2901162338610049,0.33566141792138415,0.8917777777777778,0.8853333333333333,0.001
8,0.28312259538968404,0.3288717727661133,0.894425925925926,0.8866666666666667,0.001
9,0.2741143302122752,0.32791561273733777,0.8976666666666666,0.881,0.001
10,0.26634139483063307,0.3234096359014511,0.8999074074074074,0.884,0.001
11,0.25934577962204264,0.30861584170659384,0.9023888888888889,0.887,0.001
12,0.25564598623028506,0.3300207545757294,0.9033703703703704,0.8843333333333333,0.001
13,0.24692524976642044,0.3274896397590637,0.9067962962962963,0.8856666666666667,0.001
14,0.24040922357859434,0.3178105880022049,0.909074074074074,0.8951666666666667,0.001
15,0.23687638244805512,0.32381134939193723,0.9102592592592592,0.8898333333333334,0.001
